dataset,case_id,title,content,source_host,expected_relevant,expected_importance,difficulty
ranking-v2-40,T01,Bundesregierung beschließt neues Energiegesetz,"Das Gesetz betrifft Haushalte, Unternehmen und die Energieversorgung in Deutschland.",tagesschau.de,true,4,core
ranking-v2-40,T02,Neue Regeln für Asylverfahren in der EU,Die Regeln verändern Migration und Asylverfahren in Europa.,faz.net,true,5,core
ranking-v2-40,T03,Inflation in Deutschland geht zurück,"Neue Daten betreffen Verbraucherpreise, Haushalte und Wirtschaft.",sueddeutsche.de,true,4,core
ranking-v2-40,T04,Arbeitsmarkt verändert sich,"Die Entwicklung betrifft Beschäftigte, Unternehmen und Arbeitssuchende.",spiegel.de,true,3,core
ranking-v2-40,T05,Gericht entscheidet über wichtiges Gesetz,Das Urteil kann langfristige Folgen für viele Menschen haben.,tagesschau.de,true,4,core
ranking-v2-40,T06,Promi zeigt neue Wohnung,Lifestyle und Shopping auf Instagram.,example.org,false,1,negative
ranking-v2-40,T07,Gewinnspiel: Reisegutschein sichern,Newsletter abonnieren und Rabatt gewinnen.,example.org,false,1,negative
ranking-v2-40,T08,Wetter,Sonne.,example.org,false,1,negative
ranking-v2-40,T09,Bundestag berät über Reform der Pflege,Die Bundesregierung plant ein neues Gesetz für Gesundheit und Pflege.,tagesschau.de,true,5,core
ranking-v2-40,T10,EU beschließt weitere Sanktionen,Europa reagiert auf den Krieg mit neuen Sanktionen.,bbc.com,true,5,core
ranking-v2-40,T11,Angriff auf Bahn-Infrastruktur,Sicherheitsbehörden untersuchen den Angriff in Deutschland.,spiegel.de,true,5,core
ranking-v2-40,T12,Nahost-Krise: Bundesregierung berät über Hilfe,Das Kabinett diskutiert humanitäre Unterstützung und Sicherheit.,faz.net,true,5,core
ranking-v2-40,T13,Deutsche Wirtschaft wächst leicht,"Unternehmen melden bessere Aufträge, die Wirtschaft stabilisiert sich.",sueddeutsche.de,true,4,core
ranking-v2-40,T14,Neues Urteil stärkt Rechte von Mietern,Ein Gericht erklärt Teile eines Gesetzes für unwirksam.,tagesschau.de,true,4,core
ranking-v2-40,T15,Arbeitsmarkt: Zahl der offenen Stellen sinkt,Die Lage für Beschäftigte und Arbeitssuchende wird schwieriger.,spiegel.de,true,4,core
ranking-v2-40,T16,Bundestagswahl: Parteien stellen Programme vor,"Migration, Wirtschaft und Sicherheit stehen im Mittelpunkt der Wahl.",faz.net,true,5,core
ranking-v2-40,T17,Deutschland erweitert Schutz kritischer Infrastruktur,Ein neues Sicherheitskonzept betrifft Energie und Kommunikation.,tagesschau.de,true,5,core
ranking-v2-40,T18,Iran und EU nehmen Gespräche wieder auf,"Im Mittelpunkt stehen Sanktionen, Sicherheit und der Nahost-Konflikt.",bbc.com,true,5,core
ranking-v2-40,T19,Neue Studie zur Bildung an deutschen Schulen,"Die Ergebnisse betreffen Schüler, Lehrkräfte und Chancengleichheit.",sueddeutsche.de,true,3,borderline
ranking-v2-40,T20,Mieten steigen in mehreren Großstädten,Viele Haushalte müssen einen größeren Teil ihres Einkommens für Wohnen zahlen.,spiegel.de,true,4,borderline
ranking-v2-40,T21,Bahn kündigt umfangreiche Streckensanierung an,Reisende müssen monatelang mit Sperrungen und Ersatzverkehr rechnen.,tagesschau.de,true,4,borderline
ranking-v2-40,T22,Krankenkassen erhöhen Zusatzbeiträge,Für Millionen Versicherte steigen die monatlichen Kosten.,faz.net,true,4,borderline
ranking-v2-40,T23,Digitalisierung der Verwaltung kommt langsamer voran,Viele Bürger können wichtige Anträge weiterhin nicht online stellen.,sueddeutsche.de,true,3,borderline
ranking-v2-40,T24,Wohnungsbau verfehlt Ziel deutlich,In Deutschland fehlen weiterhin bezahlbare Wohnungen.,tagesschau.de,true,4,borderline
ranking-v2-40,T25,Newsletter: Die neue Woche im Überblick,Abonnieren Sie unsere besten Texte und Angebote.,example.org,false,1,negative
ranking-v2-40,T26,Shopping-Tipps für den Herbst,"Die besten Rabatte für Mode, Möbel und Lifestyle.",example.org,false,1,negative
ranking-v2-40,T27,Horoskop: Diese Sternzeichen haben Glück,"Das Wochenhoroskop mit Liebe, Beruf und Gesundheit.",example.org,false,1,negative
ranking-v2-40,T28,Quiz: Wie gut kennen Sie Deutschland?,Testen Sie Ihr Wissen und gewinnen Sie einen Gutschein.,example.org,false,1,negative
ranking-v2-40,T29,Promi-Paar zeigt Urlaubsfotos aus Europa,Lifestyle-Bilder und private Einblicke aus dem Urlaub.,example.org,false,1,adversarial
ranking-v2-40,T30,Neue Mode aus Berlin im Angebot,"Shopping, Rabatt und Trends aus Deutschland.",example.org,false,1,adversarial
ranking-v2-40,T31,Europa-Park startet Gewinnspiel,Newsletter-Leser können eine Reise gewinnen.,example.org,false,1,adversarial
ranking-v2-40,T32,Energie-Rabatt für neue Kaffeemaschine,Werbung und Shopping-Angebot nur heute.,example.org,false,1,adversarial
ranking-v2-40,T33,Neues Album heißt Krieg und Frieden,"Ein Promi spricht über Musik, Lifestyle und seine Tour.",example.org,false,1,adversarial
ranking-v2-40,T34,Sicherheitsquiz für Autofahrer,Gewinnspiel mit Rabatt auf Zubehör.,example.org,false,1,adversarial
ranking-v2-40,T35,Feuerwehr warnt vor großer Gefahrstoffwolke,"Behörden fordern Anwohner auf, Fenster geschlossen zu halten.",regional.de,true,5,urgent
ranking-v2-40,T36,Bundesweiter Warnstreik legt Flughäfen lahm,Zehntausende Reisende sind von Flugausfällen betroffen.,regional.de,true,5,urgent
ranking-v2-40,T37,Trinkwasser in Gemeinde vorübergehend verunreinigt,"Das Gesundheitsamt empfiehlt, Leitungswasser abzukochen.",regional.de,true,5,urgent
ranking-v2-40,T38,Produktrückruf wegen Verletzungsgefahr,Eine verbreitete Küchenmaschine muss sofort außer Betrieb genommen werden.,regional.de,true,4,urgent
ranking-v2-40,T39,Neue Ausstellung eröffnet am Wochenende,Das Museum zeigt Werke regionaler Künstler.,regional.de,false,2,neutral
ranking-v2-40,T40,Fußballverein gewinnt Testspiel,Die Mannschaft siegt in einem Freundschaftsspiel.,regional.de,false,2,neutral

